date,time_of_check,exp_day,exp_phase,tank_cooler,temperature,salinity,salinity_recheck,mortality_count,mortality_tx,feeding,water_change
20251224,1245,1,acclimation,single,11,25,25,0,0,0,0
20251225,1530,2,acclimation,single,11,25,25,1,1,0,0
20251226,1007,3,acclimation,single,11,26,26,0,0,0,0
20251227,1210,4,acclimation,single,11,26,26,0,0,0,0
20251228,1815,5,acclimation,single,11,26,26,0,0,0,0
20251229,1443,6,acclimation,single,11,27,25,0,0,0,0
20251230,1237,7,acclimation,single,11,25,25,0,0,0,0
20251230,1237,7,control,blue,11,25,25,0,0,0,0
20251230,1237,7,elevated_15,red,15,25,25,0,0,0,0
20251231,1338,8,control,blue,11,22,25,0,0,1,1
20251231,1338,8,elevated_15,red,15,25,25,0,0,1,0
20260101,1430,9,control,blue,11,26,26,0,0,0,0
20260101,1430,9,elevated_15,red,15,25,25,0,0,0,0
20260102,600,10,control,blue,11,26,26,0,0,0,0
20260102,600,10,elevated_15,red,15,25,25,1,3,0,0
20260104,1520,12,control,blue,11,27,27,3,2,0,0
20260104,1520,12,elevated_15,red,15,26,26,0,0,0,0
20260105,1049,13,control,blue,11,27,27,0,0,0,0
20260105,1049,13,elevated_15,red,15,26,26,0,0,0,0
20260106,1700,14,control,blue,11,28,25,2,2,0,1
20260106,1700,14,elevated_18,red,18,26,25,0,0,0,1
20260107,1558,15,control,blue,11,25,25,0,0,1,0
20260107,1558,15,elevated_18,red,18,25,25,0,0,1,0
20260108,915,16,control,blue,11,25,25,0,0,0,0
20260108,915,16,elevated_18,red,18,25,25,0,0,0,0
20260109,1628,17,control,blue,11,26,26,0,0,0,0
20260109,1628,17,elevated_18,red,18,25,25,0,0,0,0
20260110,1624,18,control,blue,11,26,26,0,0,0,0
20260110,1624,18,elevated_18,red,18,27,27,0,0,0,0
20260111,1429,19,control,blue,11,26,26,1,2,0,0
20260111,1429,19,elevated_18,red,18,27,27,0,0,0,0
20260112,1209,20,control,blue,11,26,25,1,2,0,1
20260112,1209,20,elevated_18,red,18,27,25,0,0,0,1
20260113,1017,21,control,blue,11,26,26,0,0,0,0
20260113,1017,21,elevated_20,red,20,26,26,0,0,0,0
20260114,1752,22,control,blue,11,26,26,0,0,1,0
20260114,1752,22,elevated_20,red,20,29,26,0,0,1,1
20260115,1503,23,control,blue,11,27,25,0,0,0,1
20260115,1503,23,elevated_20,red,20,26,26,0,0,0,0
20260116,1121,24,control,blue,11,26,26,0,0,0,0
20260116,1121,24,elevated_20,red,20,26,26,0,0,0,0
20260117,1004,25,control,blue,11,26,26,0,0,0,0
20260117,1004,25,elevated_20,red,20,26,26,0,0,0,0
20260118,1137,26,control,blue,11,27,27,0,0,0,0
20260118,1137,26,elevated_20,red,20,26,26,0,0,0,0
20260119,1630,27,control,blue,11,28,26,0,0,0,1
20260119,1630,27,elevated_22,red,22,29,26,0,0,0,1
20260120,1354,28,control,blue,11,27,25,0,0,1,1
20260120,1354,28,elevated_22,red,22,30,25,2,6,1,1
20260121,1813,29,control,blue,11,28,25,0,0,0,1
20260121,1813,29,elevated_22,red,22,29,25,6,6,0,1
20260122,1944,30,control,blue,11,26,26,0,0,0,0
20260122,1944,30,elevated_22,red,22,26,26,3,6,0,0
20260123,1709,31,control,blue,11,27,25,0,0,0,1
20260123,1709,31,elevated_22,red,22,28,25,7,6,0,1
20260124,1246,32,control,blue,11,27,26,0,0,0,1
20260124,1246,32,elevated_22,red,22,28,26,4,6,0,1
20260125,1020,33,control,blue,11,26,26,0,0,0,0
20260125,1020,33,elevated_22,red,22,27,27,5,6,0,0
